columns,predicted_j,cuda_median_ms,cuda_min_ms,cuda_max_ms,nmse
25,32,1.207,1.146,1.828,2.42734665e-05
32,32,1.164,1.144,1.356,2.43000772e-05
64,64,1.363,1.329,2.255,2.43962089e-05
100,112,1.512,1.474,2.075,2.44726724e-05
128,128,1.688,1.613,2.680,2.44567607e-05
256,128,3.325,2.596,3.769,2.44532254e-05
512,128,4.853,4.179,6.123,2.44736786e-05
768,128,7.101,6.003,9.017,2.44675812e-05
1024,128,9.259,8.426,11.117,2.44747070e-05
1280,128,11.775,10.362,12.939,2.44767637e-05
1536,128,14.826,13.104,16.679,2.44744257e-05
1792,128,17.452,15.572,19.791,2.44714971e-05
2048,128,21.897,20.824,22.571,2.44723617e-05
