stage,depth,pair,order_stratum,baseline_ns,candidate_ns,baseline_ns_per_token,candidate_ns_per_token,baseline_ts,candidate_ts,paired_change_pct
initial,0,1,baseline-first,39503203916,35201954206,308618780.59375,275015267.234375,3.2402435071388247,3.6361617667857495,12.218781050703353
initial,0,2,candidate-first,39255269780,35034539558,306681795.15625,273707340.296875,3.2607087078335195,3.653537383817899,12.047340353974235
initial,0,3,baseline-first,39174007337,34910985198,306046932.3203125,272742071.859375,3.267472712170131,3.6664677113533,12.211119551115445
initial,0,4,candidate-first,39355459647,35154614603,307464528.4921875,274645426.5859375,3.252407700179338,3.641058263488311,11.949626219601651
initial,0,5,baseline-first,39398382444,35212433567,307799862.84375,275097137.2421875,3.248864345685674,3.635079630507493,11.887701169631582
initial,0,6,candidate-first,39410484732,35234383651,307894411.96875,275268622.2734375,3.247866674831032,3.6328150725681043,11.852346055956842
initial,0,7,baseline-first,36437040568,32633935664,284664379.4375,254952622.375,3.512908787450018,3.9222973691525262,11.653834655914274
initial,0,8,candidate-first,36516287331,32562015208,285283494.7734375,254390743.8125,3.505285157818773,3.9309606356474003,12.143818795430361
initial,0,9,baseline-first,36539095165,32513737294,285461680.9765625,254013572.609375,3.5030971462754885,3.9367975093906162,12.380483469499005
initial,0,10,candidate-first,36495264566,32675108765,285119254.421875,255274287.2265625,3.5073043454313892,3.9173549786958146,11.691333083157062
initial,2048,1,baseline-first,40030454408,32670641664,312737925.0625,255239388.0,3.197565500890729,3.917890603937665,22.52729780973304
initial,2048,2,candidate-first,39953514696,35512505791,312136833.5625,277441451.4921875,3.2037231511152857,3.6043640725695925,12.505478861830955
initial,2048,3,baseline-first,39548670834,35398276234,308973990.890625,276549033.078125,3.236518378512948,3.615995286150577,11.72484946036314
initial,2048,4,candidate-first,39712527503,35730951523,310254121.1171875,279148058.7734375,3.223164277074294,3.5823283328350897,11.14321284569504
initial,2048,5,baseline-first,39869606518,35889129181,311481300.921875,280383821.7265625,3.2104655946933316,3.566539587919683,11.091039063459075
initial,2048,6,candidate-first,39913053824,35780709295,311820733.0,279536791.3671875,3.2069708462907114,3.577346635157027,11.549084996974756
initial,2048,7,baseline-first,36878844786,33050104963,288115974.890625,258203945.0234375,3.470824553826359,3.872907518547901,11.584652536765994
initial,2048,8,candidate-first,36937584792,33083785273,288574881.1875,258467072.4453125,3.465305073972309,3.868964779688074,11.648605161710822
initial,2048,9,baseline-first,36968605278,33003551547,288817228.734375,257840246.4609375,3.462397324363566,3.8783704783322057,12.014021355712012
initial,2048,10,candidate-first,36916236044,33166115413,288408094.09375,259110276.6640625,3.467309068222405,3.859360627739609,11.307084306683922
initial,4096,1,baseline-first,40334476903,33063831062,315113100.8046875,258311180.171875,3.1734637418956986,3.8712997220430814,21.98972595573201
initial,4096,2,candidate-first,40482539307,35786880206,316269838.3359375,279585001.609375,3.161856992944783,3.5767297753588374,13.121174782407351
initial,4096,3,baseline-first,39976295194,33493395784,312314806.203125,261667154.5625,3.2018975089820576,3.821648925223234,19.35575434574752
initial,4096,4,candidate-first,40248157263,36080552172,314438728.6171875,281879313.84375,3.180269823624198,3.547617547253983,11.55083511785675
initial,4096,5,baseline-first,40162090495,36194483783,313766331.9921875,282769404.5546875,3.1870850949836744,3.536450492495203,10.961909930218505
initial,4096,6,candidate-first,40339237338,36330374625,315150291.703125,283831051.7578125,3.1730892413135092,3.5232226840820804,11.034465662353465
initial,4096,7,baseline-first,37257898326,33434626506,291077330.671875,261208019.578125,3.435513159653363,3.828366378701129,11.435066634627722
initial,4096,8,candidate-first,37278969693,33452891052,291241950.7265625,261350711.34375,3.433571288426327,3.8262761744876888,11.437213707636351
initial,4096,9,baseline-first,37314236210,33367669221,291517470.390625,260684915.7890625,3.4303261436099484,3.836048576010307,11.827517717408377
initial,4096,10,candidate-first,37294134383,33517513987,291360424.8671875,261855578.0234375,3.432175115943889,3.8188989806835223,11.267602953682033
initial,7168,1,baseline-first,40787233605,36532644617,318650262.5390625,285411286.0703125,3.1382368620437355,3.503715686119171,11.645992324410548
initial,7168,2,candidate-first,40519349870,36579035125,316557420.859375,285773711.9140625,3.1589845446846505,3.499272180433163,10.772057632288345
initial,7168,3,baseline-first,40568893521,33997827974,316944480.6328125,265608031.046875,3.1551267212585508,3.764946398866675,19.327898099917597
initial,7168,4,candidate-first,37782020487,36733481914,295172035.0546875,286980327.453125,3.387854814277127,3.4845594082170623,2.8544491792387827
initial,7168,5,baseline-first,40799257452,36845994842,318744198.84375,287859334.703125,3.1373120001164474,3.4739189577830425,10.72915150466709
initial,7168,6,candidate-first,37736378407,36845110700,294815456.3046875,287852427.34375,3.391952418419048,3.474002318576288,2.4189578754610697
initial,7168,7,baseline-first,37777333344,34028009000,295135416.75,265843820.3125,3.3882751552216073,3.761607092557193,11.018347691162301
initial,7168,8,candidate-first,37838220440,34063014896,295611097.1875,266117303.875,3.382822937008081,3.757741362319369,11.083004706207955
initial,7168,9,baseline-first,37904761374,33964531401,296130948.234375,265347901.5703125,3.37688446939542,3.7686373025076203,11.601013794301874
initial,7168,10,candidate-first,37849672337,34127734487,295700565.1328125,266622925.6796875,3.3817994211504288,3.7506152085412525,10.905903676136974
