stage,depth,pair,order_stratum,baseline_ns,candidate_ns,baseline_ns_per_token,candidate_ns_per_token,baseline_ts,candidate_ts,paired_change_pct
repeat,0,1,candidate-first,36399908874,32642984547,284374288.078125,255023316.7734375,3.5164923198867895,3.9212100785607737,11.509132449548876
repeat,0,2,baseline-first,36433801821,32608657764,284639076.7265625,254755138.78125,3.5132210640236385,3.925337894199134,11.730455404463047
repeat,0,3,candidate-first,36475492487,32630548440,284964785.0546875,254926159.6875,3.5092055315118684,3.9227045244232492,11.783265163532143
repeat,0,4,baseline-first,36563497313,32638197609,285652322.7578125,254985918.8203125,3.5007592108671215,3.921785189654711,12.026704878205653
repeat,0,5,candidate-first,36529430355,32695590103,285386174.6484375,255434297.6796875,3.5040239816518213,3.914901049247473,11.725863457189067
repeat,0,6,baseline-first,36571538377,32661690725,285715143.5703125,255169458.7890625,3.4999894912952243,3.9189643021763687,11.970744824325074
repeat,0,7,candidate-first,36479627710,32635790789,284997091.484375,254967115.5390625,3.50880773832327,3.9220744129522616,11.77798002766821
repeat,0,8,baseline-first,36505826046,32735290362,285201765.984375,255744455.953125,3.5062896491839597,3.9101531889445473,11.518259475642045
repeat,0,9,candidate-first,36570171248,32589445572,285704462.875,254605043.53125,3.5001203339183227,3.9276519668678946,12.214769555392913
repeat,0,10,baseline-first,36549157924,32758091703,285540296.28125,255922591.4296875,3.5021326692713983,3.9074315183102595,11.572915343700597
repeat,2048,1,candidate-first,36880914186,33130757100,288132142.078125,258834039.84375,3.4706298047402746,3.863479473579552,11.319261659734291
repeat,2048,2,baseline-first,36944431696,33084157685,288628372.625,258469981.9140625,3.4646628496888923,3.8689212286650965,11.668043804392237
repeat,2048,3,candidate-first,36897590109,33103092268,288262422.7265625,258617908.34375,3.469061248224405,3.8667082508099906,11.462668835527644
repeat,2048,4,baseline-first,37000928858,33104103648,289069756.703125,258625809.75,3.4593726144343813,3.8665901170755057,11.771426441372412
repeat,2048,5,candidate-first,36980038702,33163941479,288906552.359375,259093292.8046875,3.4613268263853207,3.859613613208547,11.506766243139177
repeat,2048,6,baseline-first,36995033850,33117492036,289023701.953125,258730406.53125,3.4599238513739055,3.8650269730829567,11.708440390911722
repeat,2048,7,candidate-first,36983580924,33097895463,288934225.96875,258577308.3046875,3.4609953066209473,3.867315374873024,11.739977441598338
repeat,2048,8,baseline-first,36977349326,33205777608,288885541.609375,259420137.5625,3.4615785699381907,3.854750866281836,11.358179177503569
repeat,2048,9,candidate-first,37068072041,33075878967,289594312.8203125,258405304.4296875,3.453106486315842,3.869889599236542,12.06980191813809
repeat,2048,10,baseline-first,37028950078,33225835828,289288672.484375,259576842.40625,3.4567547751252232,3.852423778369847,11.446256069185324
repeat,4096,1,candidate-first,37265180240,33487608245,291134220.625,261621939.4140625,3.4348418329292376,3.8223094066179404,11.28050700833203
repeat,4096,2,baseline-first,37258854186,33444888869,291084798.328125,261288194.2890625,3.4354250230297194,3.827191667502981,11.403731469818567
repeat,4096,3,candidate-first,37314389634,33449789512,291518669.015625,261326480.5625,3.4303120392828133,3.8266309554528117,11.553436294759312
repeat,4096,4,baseline-first,37353738363,33453302559,291826080.9609375,261353926.2421875,3.4266985209380767,3.826229107701773,11.659344535927318
repeat,4096,5,candidate-first,37422604106,33515796826,292364094.578125,261842162.703125,3.420392649251195,3.8190946395970373,11.656614641395846
repeat,4096,6,baseline-first,37357209008,33492790127,291853195.375,261662422.8671875,3.4263801659430437,3.821718032885341,11.538061971984593
repeat,4096,7,candidate-first,37427989664,33467430495,292406169.25,261464300.7421875,3.419900484880074,3.824613903930362,11.834070050856461
repeat,4096,8,baseline-first,37371457422,33561669150,291964511.109375,262200540.234375,3.42507380845812,3.8138746743470593,11.351605472816594
repeat,4096,9,candidate-first,37469732292,33462621116,292732283.53125,261426727.46875,3.4160905928684397,3.8251635924239475,11.974887329086181
repeat,4096,10,baseline-first,37386948515,33609109345,292085535.2734375,262571166.7578125,3.4236546464508915,3.8084912838977822,11.240521524150493
repeat,7168,1,candidate-first,37839413248,34025794551,295620416.0,265826519.9296875,3.382716300622485,3.761851903506487,11.208022464497947
repeat,7168,2,baseline-first,37846000602,34028064056,295671879.703125,265844250.4375,3.382127515826223,3.761601006432524,11.219964026507112
repeat,7168,3,candidate-first,37904559340,34055608318,296129369.84375,266059439.984375,3.3769024684300684,3.758558614040259,11.301959389654037
repeat,7168,4,baseline-first,37977270761,34167429200,296697427.8203125,266933040.625,3.370437038657529,3.7462578542490985,11.150506930735071
repeat,7168,5,candidate-first,38093616087,34119412988,297606375.6796875,266557913.96875,3.3601430672180754,3.751529958766241,11.647923428218853
repeat,7168,6,baseline-first,37976632222,34060659797,296692439.234375,266098904.6640625,3.370493709177538,3.758001188552255,11.497053927724888
repeat,7168,7,candidate-first,38021860780,34063573566,297045787.34375,266121668.484375,3.366484369100885,3.7576797323390965,11.620293467831866
repeat,7168,8,baseline-first,37928353410,34177777912,296315261.015625,267013889.9375,3.3747839938195723,3.745123522353351,10.973725406189017
repeat,7168,9,candidate-first,38072210249,34059738890,297439142.5703125,266091710.078125,3.3620322845155024,3.758102797364105,11.780687373907227
repeat,7168,10,baseline-first,38008057087,34201118777,296937945.9921875,267196240.4453125,3.3677070024129225,3.7425676286963765,11.131034440195386
